Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,year,Month,Alert Criteria,Event Month
01/15/2017,06:35:00,01/15/2017,07:44:00,California: Los Angeles County;,WECC,Transmission Disruption,176,126000,2017,January ,"Loss of electric service to more than 50,000 customers for 1 hour or more",
01/15/2017,09:27:00,01/17/2017,01:58:00,Oklahoma: Harper County;,SPP,Severe Weather,1,788,2017,January ,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,
01/18/2017,18:05:00,01/19/2017,00:05:00,California,WECC,Severe Weather,Unknown,75000,2017,January ,"Loss of electric service to more than 50,000 customers for 1 hour or more",
01/22/2017,04:15:00,01/24/2017,14:00:00,California,WECC,Severe Weather,97,64000,2017,January ,"Loss of electric service to more than 50,000 customers for 1 hour or more",
01/22/2017,06:00:00,Unknown,Unknown,California,WECC,Fuel Supply Deficiency,0,0,2017,January ,Fuel supply emergencies that could impact electric power system adequacy or reliability,
01/22/2017,16:00:00,01/23/2017,03:26:00,Alabama: Georgia: Mississippi: Florida:,SERC,Severe Weather,100,29965,2017,January ,"Loss of electric service to more than 50,000 customers for 1 hour or more",
2017-02-02 00:00:00,01:04:00,2017-02-02 00:00:00,05:00:00,"New Mexico: Bernalillo County, Santa Fe County;",WECC,Transmission Interruption,396,149223,2017,February,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,
2017-02-02 00:00:00,01:11:00,Unknown,Unknown,New Mexico: Bernalillo County;,WECC,Transmission Interruption,400,Unknown,2017,February,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,
2017-02-06 00:00:00,01:00:00,2017-02-06 00:00:00,19:30:00,"Washington: Skagit County, King County, Kitsap County;",WECC,Severe Weather,Unknown,103000,2017,February,"Loss of electric service to more than 50,000 customers for 1 hour or more",
2017-02-09 00:00:00,16:05:00,2017-02-10 00:00:00,05:15:00,Connecticut: Massachusetts: Rhode Island:,NPCC,Severe Weather,Unknown,11525,2017,February,"Loss of electric service to more than 50,000 customers for 1 hour or more",
2017-02-11 00:00:00,15:46:00,2017-02-11 00:00:00,15:50:00,Utah,WECC,Actual Physical Attack,0,0,2017,February,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
2017-02-13 00:00:00,13:00:00,2017-02-15 00:00:00,13:35:00,North Carolina: Union County;,SERC,Vandalism ,0,0,2017,February,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
2017-02-17 00:00:00,13:00:00,2017-02-17 00:00:00,13:15:00,Nevada: Clark County;,WECC,Vandalism ,0,0,2017,February,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
2017-02-17 00:00:00,15:00:00,2017-02-20 00:00:00,11:00:00,California: Los Angeles County;,WECC,Severe Weather,Unknown,111591,2017,February,"Loss of electric service to more than 50,000 customers for 1 hour or more",
2017-02-17 00:00:00,08:09:00,2017-02-22 00:00:00,19:30:00,California,WECC,Severe Weather,254,169250,2017,February,"Loss of electric service to more than 50,000 customers for 1 hour or more",
2017-02-17 00:00:00,04:32:00,2017-02-17 00:00:00,05:02:00,Missouri: Arkansas: Oklahoma: Texas:,SPP,System Operations,0,0,2017,February,Cyber event that could potentially impact electric power system adequacy or reliability,
03/01/2017,11:49:00,03/02/2017,21:30:00,Kentucky: West Virginia:,RFC,Severe Weather,Unknown,98575,2017,March,"Loss of electric service to more than 50,000 customers for 1 hour or more",
03/01/2017,08:30:00,03/01/2017,14:00:00,Tennessee: Kentucky:,SERC,Severe Weather,Unknown,58000,2017,March,"Loss of electric service to more than 50,000 customers for 1 hour or more",
03/02/2017,12:20:00,03/02/2017,23:45:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,Severe Weather,Unknown,54316,2017,March,"Loss of electric service to more than 50,000 customers for 1 hour or more",
03/06/2017,20:00:00,03/07/2017,01:00:00,"Missouri: Jackson County, Platte County, Cass County, Lafayette County, Chariton County, Carroll County, Clay County, Johnson County;",SERC,Severe Weather,Unknown,97734,2017,March,"Loss of electric service to more than 50,000 customers for 1 hour or more",
03/08/2017,11:30:00,03/08/2017,19:52:00,Ohio,RFC,Severe Weather,Unknown,71012,2017,March,"Loss of electric service to more than 50,000 customers for 1 hour or more",
03/08/2017,12:00:00,03/11/2017,11:31:00,Michigan,RFC,Severe Weather,Unknown,800000,2017,March,"Loss of electric service to more than 50,000 customers for 1 hour or more",
03/08/2017,09:30:00,03/11/2017,05:00:00,"Michigan: Jackson County, Calhoun County, Ingham County, Hillsdale County, Washtenaw County, Kent County, Ottawa County, Midland County, Saginaw County;",RFC,Severe Weather,Unknown,343000,2017,March,"Loss of electric service to more than 50,000 customers for 1 hour or more",
